model name,Inverse Constraint,Keyword/Element Constraint,Style Constraint,Situation Constraint,Fundamental Format Constraint,Quantity Format Constraint,Template Format Constraint,Content Constraint,follow-up,revision,expansion,summary,call-back,CSR,ISR,WCSR,DRFR,Fact-based Q&A,Open-ended Questions,Professional Writing,Practical Writing,Creative Writing,Casual Chat,Task-oriented Role-playing,mix
claude_3_5_sonnet_20241022,0.98,0.97,0.99,1.0,0.95,0.99,0.94,0.97,0.98,0.8,0.88,1.0,0.91,0.95,0.88,0.94,0.96,0.93,0.95,0.97,0.88,0.94,0.92,0.97,0.95
deepseek_R1_llama_8b,0.88,0.95,0.9,0.9,0.9,0.84,0.84,0.88,0.94,0.73,0.82,0.89,0.84,0.87,0.79,0.86,0.87,0.79,0.9,0.9,0.87,0.86,0.88,0.86,0.83
deepseek_R1_qwen_7b,0.9,0.89,0.91,0.84,0.82,0.7,0.8,0.83,0.91,0.62,0.85,0.86,0.78,0.81,0.69,0.8,0.82,0.77,0.85,0.86,0.82,0.74,0.79,0.8,0.77
deepseek_v3,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.99,0.8,0.92,1.0,1.0,0.98,0.93,0.96,0.98,0.93,0.96,0.99,0.96,0.97,0.98,0.95,0.97
gemini_1_5_pro,1.0,0.99,0.99,1.0,0.99,0.99,0.99,0.99,0.97,0.78,0.91,1.0,0.94,0.97,0.91,0.95,0.97,0.91,0.97,0.96,0.91,0.98,0.96,0.95,0.97
glm_4_9b_chat,0.98,0.98,0.99,0.96,0.97,0.95,0.95,0.99,0.95,0.75,0.84,0.97,0.94,0.95,0.86,0.93,0.95,0.89,0.93,0.96,0.92,0.94,0.95,0.93,0.97
gpt4o,1.0,1.0,1.0,1.0,0.99,0.98,0.99,1.0,0.97,0.78,0.88,0.97,0.91,0.97,0.9,0.95,0.97,0.92,0.96,0.96,0.95,0.97,0.94,0.92,0.98
llama_3_1_8b_instruct,0.98,0.87,0.92,0.94,0.73,0.79,0.7,0.88,0.96,0.71,0.84,0.79,0.94,0.85,0.68,0.83,0.86,0.81,0.88,0.8,0.83,0.84,0.76,0.88,0.88
mistral_7b_instruct_v0_3,0.88,0.82,0.84,0.9,0.65,0.59,0.56,0.8,0.97,0.59,0.87,0.71,0.97,0.77,0.56,0.76,0.78,0.71,0.82,0.72,0.76,0.75,0.73,0.79,0.78
phi_3_5_mini_instruct,0.94,0.93,0.96,0.96,0.82,0.81,0.8,0.9,0.94,0.68,0.87,0.94,0.94,0.88,0.73,0.87,0.88,0.86,0.88,0.86,0.84,0.94,0.86,0.86,0.86
qwen2_5_14b_instruct,0.96,0.99,0.99,0.95,0.9,0.93,0.92,0.97,0.97,0.73,0.87,0.97,0.97,0.94,0.84,0.92,0.94,0.9,0.94,0.93,0.9,0.94,0.91,0.91,0.93
qwen2_5_7b_instruct,0.96,0.97,0.99,0.99,0.95,0.91,0.88,0.96,0.95,0.76,0.9,0.94,0.97,0.94,0.84,0.92,0.94,0.9,0.92,0.89,0.91,0.93,0.93,0.94,0.95
yi_6b_chat,0.83,0.92,0.91,0.9,0.87,0.65,0.91,0.9,0.98,0.62,0.87,0.84,0.94,0.86,0.7,0.84,0.86,0.84,0.9,0.87,0.82,0.82,0.77,0.86,0.8
